user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points
252,0.00,0.00,0,0,0,0.00
458,1000.00,0.00,1,0,28,15.60
618,4000.00,15500.00,2,1,101,137.70
922,0.00,0.00,0,0,48,9.60
710,0.00,0.00,0,0,56,11.20
541,40.00,0.00,1,0,0,0.40
765,0.00,0.00,0,0,388,77.60
805,0.00,0.00,0,0,21,4.20
540,0.00,0.00,0,0,34,6.80
923,0.00,0.00,0,0,12,2.40
137,0.00,0.00,0,0,47,9.40
455,40000.00,0.00,2,0,10,402.00
985,5500.00,0.00,2,0,18,58.60
990,0.00,0.00,0,0,62,12.40
989,0.00,0.00,0,0,65,13.00
744,200.00,0.00,1,0,10,4.00
677,4000.00,0.00,1,0,12,42.40
39,0.00,0.00,0,0,66,13.20
748,0.00,0.00,0,0,38,7.60
289,6800.00,40000.00,3,1,24,272.80
449,0.00,0.00,0,0,112,22.40
85,9000.00,0.00,3,0,28,95.60
502,1650.00,0.00,1,0,68,30.10
8,0.00,0.00,0,0,5,1.00
663,10000.00,1040.00,2,1,124,130.00
9,2000.00,0.00,1,0,51,30.20
565,50.00,4536.00,1,1,21,27.38
181,0.00,0.00,0,0,42,8.40
439,9800.00,0.00,1,0,4,98.80
535,0.00,0.00,0,0,8,1.60
494,0.00,0.00,0,0,3,0.60
581,0.00,0.00,0,0,20,4.00
992,0.00,0.00,0,0,44,8.80
412,6000.00,0.00,2,0,4,60.80
722,10000.00,0.00,1,0,62,112.40
774,0.00,0.00,0,0,29,5.80
365,0.00,30000.00,0,1,64,162.80
515,0.00,0.00,0,0,7,1.40
179,0.00,0.00,0,0,11,2.20
377,10000.00,16963.00,1,1,34,191.62
753,0.00,0.00,0,0,17,3.40
43,0.00,0.00,0,0,18,3.60
887,0.00,0.00,0,0,71,14.20
668,0.00,0.00,0,0,20,4.00
869,11000.00,0.00,1,0,37,117.40
121,0.00,0.00,0,0,2,0.40
296,0.00,11156.00,0,1,42,64.18
214,0.00,0.00,0,0,3,0.60
845,0.00,0.00,0,0,33,6.60
194,0.00,0.00,0,0,29,5.80
372,4000.00,0.00,1,0,24,44.80
693,0.00,0.00,0,0,19,3.80
721,0.00,0.00,0,0,14,2.80
667,2000.00,0.00,1,0,2,20.40
110,0.00,0.00,0,0,2,0.40
16,5000.00,31305.00,1,2,25,211.53
139,607.00,0.00,2,0,15,9.07
247,0.00,0.00,0,0,112,22.40
851,2000.00,0.00,1,0,11,22.20
297,0.00,0.00,0,0,3,0.60
89,0.00,0.00,0,0,32,6.40
218,4000.00,0.00,2,0,57,51.40
856,0.00,0.00,0,0,96,19.20
197,0.00,0.00,0,0,13,2.60
477,4900.00,0.00,1,0,3,49.60
646,0.00,0.00,0,0,16,3.20
545,0.00,0.00,0,0,1,0.20
759,0.00,0.00,0,0,1,0.20
355,0.00,0.00,0,0,2,0.40
597,5000.00,0.00,1,0,4,50.80
654,500.00,0.00,1,0,15,8.00
651,0.00,0.00,0,0,13,2.60
745,0.00,0.00,0,0,17,3.40
679,0.00,0.00,0,0,6,1.20
182,0.00,0.00,0,0,37,7.40
599,6000.00,0.00,3,0,0,60.00
183,0.00,0.00,0,0,5,1.00
31,0.00,0.00,0,0,18,3.60
156,0.00,0.00,0,0,1,0.20
496,22000.00,0.00,2,0,11,222.20
977,0.00,0.00,0,0,1,0.20
978,300.00,0.00,1,0,3,3.60
828,10000.00,0.00,1,0,42,108.40
946,0.00,42000.00,0,1,21,214.20
460,0.00,0.00,0,0,17,3.40
456,0.00,0.00,0,0,73,14.60
653,0.00,0.00,0,0,17,3.40
342,6200.00,0.00,4,0,19,65.80
488,0.00,0.00,0,0,11,2.20
318,0.00,0.00,0,0,13,2.60
242,10000.00,0.00,1,0,10,102.00
273,0.00,0.00,0,0,10,2.00
436,0.00,0.00,0,0,28,5.60
641,2000.00,0.00,1,0,8,21.60
932,0.00,0.00,0,0,16,3.20
272,0.00,0.00,0,0,47,9.40
849,0.00,0.00,0,0,13,2.60
443,0.00,0.00,0,0,3,0.60
843,0.00,0.00,0,0,11,2.20
844,500.00,0.00,1,0,7,6.40
602,0.00,0.00,0,0,41,8.20
673,9000.00,0.00,2,0,4,90.80
790,3000.00,5800.00,1,1,5,60.00
