user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points
252,50.00,0.00,1,0,2,0.90
458,0.00,0.00,0,0,41,8.20
618,2000.00,0.00,1,0,123,44.60
922,0.00,0.00,0,0,47,9.40
710,35000.00,0.00,1,0,51,360.20
541,0.00,0.00,0,0,1,0.20
765,0.00,0.00,0,0,381,76.20
805,0.00,0.00,0,0,22,4.40
540,0.00,0.00,0,0,40,8.00
923,0.00,0.00,0,0,15,3.00
137,0.00,0.00,0,0,64,12.80
455,5000.00,0.00,1,0,5,51.00
985,5000.00,0.00,1,0,21,54.20
990,0.00,0.00,0,0,70,14.00
989,5000.00,0.00,1,0,57,61.40
744,150.00,0.00,1,0,11,3.70
677,4000.00,0.00,1,0,13,42.60
39,2000.00,14200.00,1,1,68,104.60
748,0.00,0.00,0,0,46,9.20
289,7500.00,0.00,2,0,18,78.60
449,0.00,0.00,0,0,111,22.20
85,6500.00,0.00,4,0,38,72.60
502,1650.00,16538.00,1,1,69,112.99
8,0.00,0.00,0,0,6,1.20
663,0.00,15564.00,0,3,100,97.82
9,3587.00,0.00,2,0,52,46.27
565,6000.00,0.00,2,0,22,64.40
181,0.00,0.00,0,0,53,10.60
439,0.00,0.00,0,0,4,0.80
535,0.00,0.00,0,0,7,1.40
494,0.00,0.00,0,0,1,0.20
581,0.00,0.00,0,0,29,5.80
992,0.00,0.00,0,0,42,8.40
412,4000.00,0.00,1,0,4,40.80
722,0.00,0.00,0,0,63,12.60
774,0.00,66000.00,0,1,20,334.00
365,0.00,45451.00,0,1,47,236.66
515,0.00,0.00,0,0,6,1.20
179,0.00,0.00,0,0,16,3.20
377,0.00,0.00,0,0,30,6.00
753,0.00,0.00,0,0,19,3.80
43,0.00,0.00,0,0,19,3.80
887,0.00,0.00,0,0,70,14.00
668,0.00,0.00,0,0,12,2.40
869,0.00,0.00,0,0,37,7.40
121,0.00,0.00,0,0,0,0.00
296,1000.00,0.00,1,0,45,19.00
214,7750.00,0.00,2,0,2,77.90
845,0.00,22000.00,0,1,42,118.40
194,0.00,0.00,0,0,25,5.00
372,0.00,0.00,0,0,28,5.60
693,0.00,0.00,0,0,20,4.00
721,0.00,0.00,0,0,10,2.00
667,348.00,0.00,1,0,5,4.48
110,0.00,0.00,0,0,2,0.40
16,8000.00,0.00,2,0,40,88.00
139,0.00,0.00,0,0,19,3.80
247,0.00,0.00,0,0,118,23.60
851,200.00,0.00,1,0,10,4.00
297,0.00,0.00,0,0,0,0.00
89,10000.00,0.00,1,0,39,107.80
218,0.00,0.00,0,0,52,10.40
856,6000.00,15000.00,1,1,88,152.60
197,0.00,0.00,0,0,8,1.60
477,0.00,0.00,0,0,7,1.40
646,0.00,0.00,0,0,14,2.80
545,0.00,0.00,0,0,0,0.00
759,0.00,0.00,0,0,4,0.80
355,0.00,0.00,0,0,5,1.00
597,0.00,0.00,0,0,6,1.20
654,0.00,0.00,0,0,14,2.80
651,25000.00,0.00,1,0,10,252.00
745,500.00,0.00,1,0,19,8.80
679,0.00,0.00,0,0,8,1.60
182,30000.00,0.00,1,0,38,307.60
599,0.00,0.00,0,0,0,0.00
183,0.00,0.00,0,0,9,1.80
31,0.00,0.00,0,0,16,3.20
156,0.00,0.00,0,0,3,0.60
496,0.00,0.00,0,0,19,3.80
977,0.00,0.00,0,0,0,0.00
978,1400.00,0.00,1,0,1,14.20
828,0.00,0.00,0,0,64,12.80
946,0.00,0.00,0,0,37,7.40
460,0.00,0.00,0,0,13,2.60
456,0.00,0.00,0,0,85,17.00
653,0.00,0.00,0,0,11,2.20
342,4000.00,0.00,2,0,11,42.20
488,8000.00,0.00,1,0,11,82.20
318,0.00,0.00,0,0,13,2.60
242,0.00,0.00,0,0,7,1.40
273,0.00,0.00,0,0,11,2.20
436,10000.00,0.00,1,0,36,107.20
641,0.00,0.00,0,0,13,2.60
932,0.00,0.00,0,0,12,2.40
272,0.00,0.00,0,0,48,9.60
849,0.00,0.00,0,0,15,3.00
443,0.00,0.00,0,0,2,0.40
843,0.00,0.00,0,0,17,3.40
844,500.00,0.00,1,0,14,7.80
602,10000.00,7028.00,1,1,68,148.74
673,0.00,0.00,0,0,4,0.80
790,3000.00,0.00,1,0,4,30.80
741,0.00,0.00,0,0,0,0.00
309,4000.00,0.00,1,0,27,45.40
987,0.00,0.00,0,0,34,6.80
337,0.00,0.00,0,0,8,1.60
186,0.00,0.00,0,0,2,0.40
237,0.00,0.00,0,0,50,10.00
945,5000.00,0.00,1,0,15,53.00
303,0.00,0.00,0,0,17,3.40
754,0.00,0.00,0,0,91,18.20
730,0.00,0.00,0,0,8,1.60
5,600.00,0.00,1,0,9,7.80
657,0.00,0.00,0,0,4,0.80
380,500.00,0.00,3,0,10,7.00
973,2000.00,0.00,1,0,11,22.20
777,1000.00,0.00,1,0,7,11.40
567,0.00,0.00,0,0,6,1.20
168,1000.00,0.00,1,0,24,14.80
738,0.00,0.00,0,0,76,15.20
550,0.00,0.00,0,0,6,1.20
487,0.00,30000.00,0,1,16,153.20
270,0.00,0.00,0,0,11,2.20
14,100.00,0.00,1,0,0,1.00
57,0.00,0.00,0,0,2,0.40
798,0.00,0.00,0,0,7,1.40
23,2000.00,0.00,1,0,0,20.00
258,0.00,0.00,0,0,9,1.80
447,0.00,0.00,0,0,1,0.20
837,1300.00,0.00,3,0,4,13.80
826,0.00,0.00,0,0,22,4.40
339,0.00,0.00,0,0,4,0.80
620,0.00,0.00,0,0,6,1.20
582,0.00,0.00,0,0,63,12.60
611,0.00,0.00,0,0,16,3.20
636,0.00,0.00,0,0,12,2.40
