user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points
252,0.00,0.00,0,0,0,0.00
458,500.00,0.00,1,0,39,12.80
618,0.00,0.00,0,0,110,22.00
922,0.00,0.00,0,0,55,11.00
710,0.00,0.00,0,0,43,8.60
541,0.00,0.00,0,0,1,0.20
765,0.00,0.00,0,0,444,88.80
805,0.00,0.00,0,0,18,3.60
540,0.00,0.00,0,0,32,6.40
923,0.00,0.00,0,0,21,4.20
137,10000.00,0.00,1,0,45,109.00
455,20000.00,0.00,1,0,8,201.60
985,2000.00,0.00,1,0,13,22.60
990,0.00,0.00,0,0,57,11.40
989,0.00,0.00,0,0,61,12.20
744,0.00,0.00,0,0,16,3.20
677,2500.00,0.00,1,0,8,26.60
39,0.00,0.00,0,0,74,14.80
748,0.00,0.00,0,0,42,8.40
289,6000.00,0.00,2,0,22,64.40
449,0.00,0.00,0,0,111,22.20
85,1999.00,0.00,1,0,43,28.59
502,0.00,9035.00,0,1,85,62.18
8,0.00,0.00,0,0,7,1.40
663,0.00,0.00,0,0,100,20.00
9,1000.00,20076.00,1,1,44,119.18
565,7000.00,0.00,1,0,20,74.00
181,0.00,0.00,0,0,53,10.60
439,7500.00,0.00,1,0,4,75.80
535,0.00,0.00,0,0,10,2.00
494,0.00,0.00,0,0,3,0.60
581,0.00,0.00,0,0,28,5.60
992,0.00,30000.00,0,1,44,158.80
412,0.00,0.00,0,0,6,1.20
722,0.00,0.00,0,0,59,11.80
774,0.00,0.00,0,0,18,3.60
365,0.00,50000.00,0,1,64,262.80
515,35000.00,0.00,1,0,6,351.20
179,0.00,0.00,0,0,22,4.40
377,0.00,0.00,0,0,47,9.40
753,0.00,0.00,0,0,17,3.40
43,0.00,0.00,0,0,22,4.40
887,0.00,0.00,0,0,89,17.80
668,0.00,0.00,0,0,15,3.00
869,0.00,0.00,0,0,31,6.20
121,0.00,0.00,0,0,1,0.20
296,0.00,0.00,0,0,42,8.40
214,0.00,0.00,0,0,1,0.20
845,0.00,0.00,0,0,31,6.20
194,0.00,0.00,0,0,27,5.40
